userID,ISBN,bookRating
276847,3404921178,7
276847,3442422035,9
276847,3442435773,8
276847,3442449820,9
276847,3499222213,7
276847,3499228297,6
276847,3551551685,10
276847,3551551693,10
276847,360893541X,10
276929,2264010991,5
276929,2264031158,6
277157,0385305389,4
277157,0399148639,6
277157,0679450408,6
277203,030700645X,8
277203,0307987655,8
277203,0394800028,9
277203,0394925696,8
277203,059046602X,8
277203,0590965492,8
277203,0689847564,8
277203,0717284832,8
277203,0717284972,8
277203,0761406158,8
277203,0769600239,7
277203,087701759X,10
277203,0895777010,7
277427,002542730X,10
277427,0132220598,8
277427,0152050167,10
277427,0316776963,8
277427,0385486804,9
277427,0394738136,7
277427,0394862147,7
277427,0440224764,7
277427,0446350982,9
277427,0446676640,8
277427,0452284449,6
277427,0553574566,9
277427,0671727079,9
277427,0671740504,8
277427,0679419853,10
277427,0743412028,9
277427,0785243038,7
277427,0786866845,10
277427,0811802981,10
277427,0842370668,10
277427,0897330536,8
277427,0912452161,5
277427,0964420805,7
277427,156865037X,7
277478,006008216X,6
277478,0340565276,8
277478,0340745983,8
277478,0399128158,9
277478,0449907635,5
277478,0670808393,6
277478,0810946122,9
277478,0831759267,10
277478,2723426890,6
277478,9068340344,7
277523,0399151877,10
277523,0446613843,10
277523,0739442309,10
277639,030702024X,8
277639,0345346777,8
277639,0425147363,8
277639,0671416367,7
277639,0812543262,8
277929,0425191001,9
277929,0505523035,10
277929,0515129968,9
277929,0553561537,9
277929,0804117586,6
277965,0399145087,7
277965,0679457526,9
277965,0743204735,9
277965,0786866845,9
277965,0786867434,6
277965,0937921556,8
277965,096665370X,8
278026,0060008350,7
278026,0061020028,8
278026,0380820889,8
278026,0446612510,8
278026,0449221512,5
278026,0451179153,8
278026,0515125490,8
278026,0515130389,8
278026,1551669625,6
278137,0310239826,8
278137,0449209830,8
278137,0590434160,7
278137,0684846675,8
278137,0825428688,4
278137,0842339337,9
278137,088419597X,9
278137,1556611536,9
278188,0156005891,8
278188,0451180348,6
278188,0590424971,7
278188,0590448331,7
278188,0590456490,7
278188,0689800975,6
278188,0821774638,3
278188,1551661586,6
278188,1551665220,7
278202,014025448X,2
278202,0385316925,3
278202,0385319568,9
278202,0553104039,3
278221,0316031046,10
278221,0743460529,8
278221,1556611536,9
278221,1589196635,10
278356,0025173251,3
278356,0060163704,9
278356,0312265859,7
278356,0439064872,8
278356,0439136369,10
278356,043935806X,10
278356,0440057574,10
278356,087795979X,10
278356,1567310028,7
278418,0312923651,6
278418,0345300742,8
278418,0345431464,3
278418,0373071388,5
278418,0373112572,5
278418,0373122772,5
278418,0399122400,4
278418,0440206561,5
278418,0445205636,5
278418,0446520608,5
278418,0451136683,5
278418,0515130389,8
278418,0515131229,8
278418,0553565605,3
278418,059088008X,4
278418,0865926433,5
278582,0061044725,10
278582,0312990456,5
278582,0345348176,8
278582,0449221512,8
278582,0449223558,9
278582,0451202503,10
278582,157566254X,10
278633,0140244824,7
278633,0142000205,7
278633,0375703063,7
278633,0385512147,7
278633,0553570870,8
278633,0679425268,9
278633,0684837986,9
242,3257207522,10
242,3257212054,10
242,3257233051,9
242,3499151502,9
254,0060934700,9
254,0373033605,5
254,0373226063,6
254,0373810431,7
254,0375756469,9
254,0380730448,8
254,0380817845,8
254,0380973839,9
254,0439064872,9
254,0439136350,9
254,0439136369,9
254,0439139597,9
254,0451167317,8
254,0553263633,8
254,156971620X,9
507,0375815147,9
507,0553564528,7
507,0553575538,7
507,0553580523,7
507,0553583468,7
507,0590021117,7
507,0743260244,10
507,0821772953,8
638,0316776963,10
638,0316779490,9
638,0345339711,10
638,0385505833,10
638,0446525537,9
638,0671042556,9
638,067972768X,10
638,1558747028,10
643,0671894455,7
643,0743462335,8
643,0890877564,8
643,1405200677,8
643,2253006866,8
