userID,Location,Age
242,"neuffen, baden-wuerttemberg, germany",37
254,"minneapolis, minnesota, usa",24
507,"dumas, arkansas, usa",34
638,"san diego, california, usa",20
643,"grenoble, rhone-alpes, france",23
651,"interlachen, florida, usa",26
709,"roanoke, virginia, usa",14
805,"sonoma, california, usa",34
882,"berkeley, california, usa",23
929,"king of prussia, ,",36
1025,"maidstone, england, united kingdom",33
1131,"berkeley, ,",22
1211,"rennes, bretagne, france",22
1248,"dixon, california, usa",34
1424,"north avoca, new south wales, australia",34
1435,"st. louis, missouri, usa",36
1674,"minneapolis, minnesota, usa",26
1733,"independence, west virginia, usa",30
1848,"bellingham, washington, usa",22
1903,"hualien, taiwan, taiwan",36
2024,"oakland, california, usa",34
2030,"seabeck, washington, usa",31
2033,"omaha, nebraska, usa",27
2110,"charlotte, north carolina, usa",34
2179,"sunderland, massachusetts, usa",30
2276,"niskayuna, new york, usa",46
2313,"cincinnati, ohio, usa",23
2358,"bryan, texas, usa",23
2363,"mountain home, idaho, usa",42
2766,"frisco, texas, usa",42
2891,"beaverton, oregon, usa",34
2977,"richland, washington, usa",25
3167,"milwaukee, wisconsin, usa",42
3282,"didsbury, alberta, canada",52
3346,"tehran, tehran, iran",20
3363,"knoxville, tennessee, usa",29
3371,"groveland, massachusetts, usa",25
3373,"elk grove, california, usa",30
3538,"madrid, madrid, spain",31
3556,"bismarck, north dakota, usa",68
3675,"barcelona, catalunya, spain",24
3757,"madrid, madrid, spain",34
3827,"orlando, florida, usa",23
3917,"toronto, ontario, canada",25
3923,"vienna, ,",34
4017,"new orleans, louisiana, usa",48
4157,"birmingham, alabama, usa",39
4197,"anchorage, alaska, usa",61
4334,"rome, lazio, italy",38
4385,"albq, new mexico, usa",33
4785,"litchfield, connecticut, usa",30
4938,"charleston, south carolina, usa",30
5209,"medford, new jersey, usa",48
5385,"loomis, california, usa",30
5476,"chester, ,",34
5499,"lakeland, tennessee,",60
5543,"cumberland, maryland, usa",29
5582,"seattle, washington, usa",26
5899,"ulm, baden-wuerttemberg, germany",25
5956,"indianapolis, indiana, usa",27
6073,"houston, texas, usa",28
6238,"silsden, keighley, west yorkshire, united kingdom",38
6242,"calgary, alberta, canada",34
6251,"wahiawa, hawaii, usa",32
6323,"wilmington, north carolina, usa",35
6532,"new westminster, british columbia, canada",34
6537,"norfolk, ,",28
6543,"strafford, missouri, usa",34
6563,"burien, washington, usa",31
6564,"lisboa, estremadura, portugal",37
6575,"seattle, washington, usa",34
6611,"oradea, n/a, romania",22
6662,"toronto, ontario, canada",31
6772,"calgary, ,",34
7082,"carlisle, pennsylvania, usa",34
7125,"apo, ae, usa",28
7134,"bothell, washington, usa",23
7158,"omaha, nebraska, usa",30
7210,"rothesay, new brunswick, canada",34
7283,"saint marys, georgia, usa",30
7286,"pasco, washington, usa",28
7346,"sunnyvale, california, usa",49
7841,"salt lake city, utah, usa",34
7864,"klang, selangor, malaysia",17
7915,"st. paul, minnesota, usa",34
7958,"oeiras, lisbon, portugal",27
8019,"toronto, ontario, canada",34
8066,"chicago, illinois, usa",34
8067,"owings mills, maryland, usa",26
8167,"cambridge, ,",39
8245,"torrance, california, usa",31
8253,"tulsa, oklahoma, usa",26
8284,"manchester, kentucky, usa",28
8362,"los angeles, california, usa",28
8454,"auburndale, massachusetts, usa",34
8529,"logroño, la rioja, spain",34
8681,"orlando, florida, usa",34
8734,"chula vista, california, usa",34
8782,"calgary, alberta, canada",34
8872,"athens, georgia, usa",65
8890,"paris, ile-de-france, france",47
8936,"elizabeth city, north carolina, usa",18
8937,"murphysboro, ,",37
8971,"berlin, berlin, germany",27
9227,"glendora, california, usa",24
